,username,following,followers,retweetcount,text,date
105,KevOnThaBuss,358,440,3,Kamala Harris ain’t no sister of mine. She was black during election then she pulled the tether pack. I’m Jamaican/Asian American lol,2012-11-22 05:33:48+00:00
106,NOTJohnnyACE562,1004,912,1,Oh naw this is nuts. ICE is a white supremacist terrorist organization and deep into child sex trafficking. Calling them does what exactly except align yourselves with the white people who built it. It’s giving tether/brain washed by colonizer mentality big time. https://t.co/GRFJQl1GFW,2021-03-27 22:22:02+00:00
107,qusaimohame,429,67,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave $ HZM The world has gone crazy with all these cryptocurrencies, it's true but if you search, you're sure to find our HZM COIN the first Arab currency that changed all of your trading and investing strategies

 Become a member of our HZM family today and you will be special",2017-08-14 17:39:32+00:00
108,CallMeDedex,59,55,0,@paoloardoino Just print #Tether lah and pump hard #btc,2012-08-06 13:51:26+00:00
109,ahhhhha,91,23,0,just seen a guy selling tether ball poles on the corner.,2009-05-10 06:12:52+00:00
110,mosesjones,456,1402,1,"Bot test:

My Coinbase wallet FTX wallet Binance wallet were hacked and I lost Tether and Bitcoin to a Russian credit card in Ukraine that an Elon Musk NFT currency exchange with a Tesla mortgage paid off student loans I need help to bet on sports",2008-06-10 08:41:57+00:00
111,silentpartner80,3916,1063,0,"@ArtHeaux_B @IZUWI3 @CharriseJLane @Marcel4Congress Nah they don't do intersectionality --at the cook out at all, Gay broccoli can't touch straight chicken and tether beans can be next to non FBA ribs. 
😅🤣🔪💀",2021-03-07 05:06:02+00:00
112,Lightrider,1437,960,1,"""Tether is unbacked"" or ""Tether is a fraud"" are other phrases that seem to generate replies from randos who say things like, ""Tether is fully backed"" or ""there is no evidences (sic) for your conapiracy theory.""",2008-02-06 16:33:26+00:00
113,Lightrider,1437,960,1,@schmackelstan I mean we have audio of tether executives admitting to the same bank fraud that Fowler just plead guilty to.,2008-02-06 16:33:26+00:00
114,Lightrider,1437,960,1,"And you’re ok with this @SecYellen @USOCC @POTUS 

I mean what could possibly go wrong if Tether collapses? https://t.co/K0boScgaCH",2008-02-06 16:33:26+00:00
115,fe_uul,137,40,0,@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave HZM COIN🐪 A real currency with an excellent future😍😍😍❤️❤️❤️❤️😍😍🐪🐪🐪🐪🐪🐪🐪❤️❤️❤️😘 https://t.co/KAJtrZ85lJ,2021-05-19 16:50:36+00:00
116,fe_uul,137,40,0,@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave HZM dollar A quantum leap in the world of information and communication technology ... The upcoming #HZM currency projects shock everyone ... Be with HZM to fly and fly with us 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀,2021-05-19 16:50:36+00:00
117,Lightrider,1437,960,0,@crypto1nfern0 @CasPiancey @LucaLand97 Tether jihadists,2008-02-06 16:33:26+00:00
118,Lightrider,1437,960,1,"@CasPiancey @LucaLand97 Paolo and Stu must be so busy using sockpuppets to reply to every tweet mentioning ""Tether fraud"" and ""Tether cartel"" that it is slowing the audit down.  How can they be expected to complete the audit when they are so busy fighting the ""Tether Truthers""?",2008-02-06 16:33:26+00:00
119,sentientcherry,397,937,0,Does anyone play tether ball anymore?,2019-09-11 19:53:07+00:00
120,Cryptocentralme,1,9,0,"Welcoming may and with it the great jump. 
#cryptoexpectations #cryptotrading #tether #community #Crypto",2021-10-30 18:01:25+00:00
121,Lightrider,1437,960,1,@kucoincom #CZ is a fake multi-millionaire and #Tether is a fraud.,2008-02-06 16:33:26+00:00
122,KushCurrency,923,97,0,@tezoski @many_labs @Bitcoin @ethereum @tezos @dogecoin @AxieInfinity @Cardano @Shibtoken @apecoin @PancakeSwap @0xPolygon @Tether_to @solana @MFA_China @FBI Everyone might want to talk to West Africa about what's being going on.,2021-12-20 17:16:07+00:00
