,Unnamed: 0,username,following,followers,retweetcount,text,date,show
143,143,StayMobile_SMI,3997,2518,0,bitcoin ethereum stage rebound as defi tokens aave luna rally decrypt,2010-06-29 19:05:49+00:00,0
144,144,KingAzma1,265,516,2,letss goo fire fire double_exclamation_mark double_exclamation_mark,2021-07-11 18:58:26+00:00,0
145,145,DawnManHunter,1970,779,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2021-10-14 05:06:03+00:00,0
146,146,theincomeblog,4999,1791,0,goldshell ck box 1050gh/s 185m 235w ckb nervos network miner w/ power supply,2011-11-09 00:54:29+00:00,0
147,147,TrentonSamuel,3020,2741,0,bitcoin ethereum stage rebound as defi tokens aave luna rally decrypt,2013-06-27 07:07:28+00:00,0
148,148,org_bdg_lucky,4791,97,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2021-11-29 02:07:16+00:00,0
149,149,Weng51882988,557,177,76,man_superhero _guardians chainguardians is a free to play turn based superhero strategy game powered by the ethereum blockchain fireworks all in game assets like armors weapons and characters are and tradable in the marketplace downwards_button info,2021-05-29 05:22:10+00:00,0
150,150,LX_EMON6,79,15,187,$vinu has the potential to change your life all you have to do is police_car_light fire,2022-03-02 19:16:06+00:00,1
151,151,DeBankDeFi,3727,68250,32,now you can check your staked $bico token balance from biconomy on ( version) hat tip to all voters,2019-07-30 03:03:37+00:00,0
152,152,sabecaruz,5002,17,445,free mint is live party_popper do not forget to claim your 3d apes on the blockchain chains apes mint limit is set at 3 per wallet pushpin,2021-12-13 19:12:35+00:00,0
153,153,NFinder01,476,17,0,remember what happened on july in 2021 one evening dump did fall on us and went to the hell with us but after only one day prepared to reach to new ath u re not a whale but dont give them your future treasure,2022-04-03 12:03:45+00:00,1
154,154,me_yrez,605,600,76,man_superhero _guardians chainguardians is a free to play turn based superhero strategy game powered by the ethereum blockchain fireworks all in game assets like armors weapons and characters are and tradable in the marketplace downwards_button info,2021-04-18 10:38:44+00:00,0
155,155,ETHGasPriceBot,0,1202,0,slow 20 1 | normal 21 | fast 75 | instant 101 backhand_index_pointing_left current ethereum gas prices in gwei dm me a price and i will dm you as soon as gas drops below that price thumbs_up,2021-01-04 09:25:56+00:00,0
156,156,denes35877791,51,10,0,to the moon rocket rocket,2021-02-22 01:17:58+00:00,0
157,157,Ni_kistannnnnnn,593,35,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-04-29 15:51:39+00:00,1
158,158,alatl_burce,4537,363,493,trophy trophy prizes wrapped_gift 1x 20 wrapped_gift 3× wl spot to enter keycap_1 red_heart &rt keycap_2 follow _etlis keycap_3 tag 2 friends hourglass_done 48h,2015-09-26 12:02:09+00:00,0
159,159,BowTiedPickle,420,1411,1,pro tip if you have anything to do on $eth do it now and get it done in the next hour i expect ethereum to be completely bricked by the ape land drop for at least ~1 hour post 9 pm edt glhf degens,2021-05-13 12:23:32+00:00,0
160,160,BIGWINS10_,2947,85,877,owl nft giveaway owl giving away 2x nfts for to enter follow & like & rt tag 3 friends winners picked in 24 hours,2021-05-21 04:31:23+00:00,0
161,161,EnriqueSimo28,195,879,22,$eth was so cheap now if you trust and go ahead to buy at least 1 land for yourself lowest price is 0 2 only market down is best time to own your favorite do not miss it always the best team,2012-09-11 20:48:16+00:00,0
162,162,Solsun8317,340,72,0,solsun found in a blue vault at this location join me playing it is awesome,2022-01-19 04:15:10+00:00,1
163,163,EddyDarko4,2534,999,10,got my raffle nft,2021-08-24 01:34:33+00:00,0
164,164,Ogunsinaboluwa2,4198,520,3,i know you all are minting well happy new month frens,2019-03-24 12:33:09+00:00,0
